,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,,,,,,
44,"316,271","284,512","294,281","410,182","398,764","380,359","357,062","350,793","345,932","344,182","336,876","327,408","327,477","328,442","328,063","321,785","310,131","308,250","315,160","318,756","321,055","324,519","322,962","320,585","300,894","323,910","352,388","368,130","363,328","367,647","468,755","427,482","400,048","385,759","375,337","367,500","373,463","375,776","372,835","382,818","395,265","409,009","414,477","421,745","437,264","449,090","456,800","464,890","469,266","464,776","466,094","456,408","455,394","444,432","454,825","443,921",,,,,,,
45,"333,626","315,947","281,324","292,551","414,074","399,780","378,401","354,799","347,947","343,653","343,321","334,736","326,406","325,528","327,087","326,572","320,490","308,977","307,088","314,185","316,566","319,320","323,031","322,000","319,315","299,786","322,725","350,994","367,433","362,124","366,479","465,708","426,536","398,978","384,786","374,100","366,915","372,499","375,307","372,277","382,256","392,830","408,515","414,397","421,431","437,308","447,242","456,384","464,705","469,065","463,686","465,075","455,954","455,343","444,995","455,248",,,,,,,
46,"360,676","332,982","313,291","279,696","289,995","411,180","396,375","375,121","351,994","345,815","342,723","341,935","332,983","324,344","324,521","325,374","325,066","319,077","307,817","305,470","311,869","314,816","317,838","321,702","320,906","317,801","298,464","321,317","349,703","365,908","360,957","366,379","463,000","425,863","398,169","383,709","372,794","366,387","371,858","374,451","371,795","379,875","392,423","407,998","413,905","421,356","435,134","447,104","456,277","464,719","468,213","462,711","464,383","455,793","455,570","445,377",,,,,,,
47,"365,313","360,549","330,751","311,606","277,068","289,028","409,214","391,698","371,866","349,535","346,576","340,713","340,128","330,769","322,894","322,863","323,754","323,608","317,710","306,142","302,841","310,094","313,265","316,457","320,453","319,554","316,197","296,953","320,216","348,030","364,634","360,300","365,872","460,897","425,068","397,023","382,554","371,672","366,124","370,898","373,948","369,055","379,467","391,902","407,110","413,788","419,428","434,674","447,418","456,460","464,223","467,094","462,066","464,096","456,082","455,765",,,,,,,
48,"360,367","364,318","359,773","329,404","309,369","276,088","284,732","407,258","387,526","369,055","346,638","344,219","338,799","338,067","329,092","320,921","321,049","321,875","322,165","315,842","303,735","301,133","308,444","311,639","315,137","318,959","318,095","314,573","295,705","318,880","346,692","362,858","359,507","365,324","458,626","424,111","395,747","381,325","370,629","365,514","370,061","371,563","368,247","379,102","391,041","406,539","411,773","418,987","434,504","447,927","456,079","463,093","466,255","461,581","464,148","456,227",,,,,,,
49,"355,856","360,018","361,722","358,997","327,158","307,249","273,020","278,031","405,693","383,940","367,716","345,081","342,483","336,841","336,102","327,181","318,669","318,865","320,206","320,307","313,932","302,102","299,738","307,046","310,196","313,599","317,306","316,579","312,910","294,549","317,691","345,535","361,240","358,749","364,581","456,130","422,831","394,528","380,427","369,338","364,879","367,994","370,736","367,341","378,363","390,445","404,255","411,179","418,801","434,456","447,778","454,825","462,096","465,883","461,581","464,338",,,,,,,
50,"357,103","354,225","358,757","359,507","356,201","323,579","303,851","269,892","274,253","406,895","381,534","365,085","343,623","339,980","333,859","333,494","324,762","316,334","316,974","318,117","318,090","312,303","300,563","298,232","305,500","308,684","311,872","315,576","315,199","311,567","293,191","315,825","344,115","359,269","358,013","363,945","453,136","421,561","393,111","379,263","367,205","363,671","367,084","368,843","366,691","377,145","389,369","404,005","410,671","417,594","433,173","446,615","453,909","461,548","465,548","461,476",,,,,,,
51,"354,469","354,286","352,360","357,170","356,282","351,727","320,317","300,890","267,662","269,725","398,996","378,102","362,776","340,854","336,944","331,112","330,771","322,232","314,328","314,911","316,014","316,160","310,401","298,654","296,850","303,796","306,844","310,056","313,923","313,788","309,981","292,447","314,135","342,713","357,646","357,148","362,955","450,251","420,342","391,939","377,400","366,077","362,144","365,446","368,285","365,064","376,168","389,316","403,134","409,265","416,388","432,047","445,463","453,143","461,048","465,066",,,,,,,
52,"356,191","353,000","351,885","349,909","354,401","352,709","348,352","317,372","298,637","264,465","273,162","395,405","374,793","359,569","337,853","333,719","328,044","327,853","319,791","312,271","312,779","313,846","314,134","308,419","297,017","295,108","301,982","305,060","308,395","312,352","312,193","308,408","291,306","312,408","341,355","355,811","355,915","361,928","447,711","419,355","390,057","375,921","364,655","359,856","365,033","366,631","363,680","376,096","388,346","401,139","407,779","414,983","430,843","444,761","452,399","460,647",,,,,,,
53,"352,894","354,531","350,845","348,760","346,359","348,855","348,482","345,927","315,040","295,097","262,101","270,337","391,407","370,998","356,015","334,184","330,299","325,009","324,863","317,198","310,210","309,822","311,132","311,728","306,406","294,882","292,870","299,909","303,150","306,619","310,516","310,447","306,646","290,088","310,622","339,724","353,691","354,498","360,819","444,902","417,310","388,325","374,079","362,580","358,854","363,620","365,255","363,243","375,357","386,528","399,278","406,516","413,939","430,035","443,862","451,688",,,,,,,
