,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,,,,
39,"391,736","369,175","361,617","354,380","351,234","342,439","333,524","334,643","335,583","333,742","321,572","310,104","305,779","312,492","316,345","319,531","321,919","323,401","320,601","302,408","324,131","351,742","366,477","363,512","369,257","470,254","432,461","404,305","390,529","379,108","372,810","378,996","381,052","377,077","387,629","401,199","413,691","420,085","427,922","446,024","456,720","468,981","477,059","481,568","478,212","476,046","469,967","468,528","456,501","467,502","449,741","430,330","412,159","404,722","398,028","389,484",,,,,
40,"417,425","391,234","367,503","359,464","353,069","350,311","342,176","333,152","334,662","335,288","330,442","321,060","309,513","304,897","311,033","315,791","318,888","321,704","323,160","320,293","301,933","322,998","350,790","366,092","363,531","369,166","469,682","431,580","403,426","390,565","378,911","372,850","378,466","381,395","377,065","387,668","401,027","413,468","419,872","428,401","445,137","457,387","469,003","477,572","482,057","477,790","477,034","468,838","469,214","457,006","468,191","449,826","430,588","412,857","406,065","399,287",,,,,
41,"405,831","415,986","389,984","366,525","358,917","353,630","350,119","342,405","332,095","333,785","334,731","329,656","320,576","308,503","303,408","310,691","315,104","318,580","321,596","323,086","319,967","300,822","322,026","350,212","366,027","363,340","368,615","469,298","431,236","403,651","390,835","378,808","372,881","378,501","381,109","377,202","387,636","400,866","413,747","420,421","427,816","445,342","457,434","469,086","478,094","481,700","478,897","475,382","469,367","469,574","456,966","468,105","449,873","430,848","413,492","406,885",,,,,
42,"317,085","414,058","413,433","388,916","366,022","359,715","353,277","349,572","341,147","331,103","332,013","334,003","328,953","319,468","307,711","302,964","310,107","314,755","318,182","321,411","322,830","318,767","299,923","321,431","349,934","365,759","362,947","368,034","469,393","431,358","403,787","390,559","378,491","373,053","378,026","380,942","377,190","387,549","401,067","414,387","420,004","428,040","445,002","457,630","469,142","477,747","482,873","477,503","475,338","469,605","469,434","457,121","468,257","450,316","431,616","414,861",,,,,
43,"297,611","310,095","420,765","411,525","388,565","366,042","359,082","352,351","348,053","340,261","331,418","330,872","333,509","327,891","318,123","307,131","302,274","309,583","314,428","317,709","321,111","321,749","317,862","299,220","321,156","349,504","365,342","362,648","367,689","469,000","431,339","403,461","390,173","378,290","372,868","377,658","380,780","377,261","387,747","401,531","413,943","420,247","427,863","444,738","457,844","468,492","478,760","481,706","477,527","474,995","469,357","469,260","456,953","468,327","450,901","432,517",,,,,
44,"329,556","294,392","304,230","424,527","410,190","388,097","365,250","357,865","350,542","346,622","337,914","330,257","329,985","332,486","326,926","317,441","306,320","301,948","309,424","314,102","317,106","320,098","321,026","317,051","298,866","320,646","348,979","364,896","362,676","367,269","468,801","431,389","402,880","390,103","377,776","372,820","377,441","380,681","377,886","388,438","401,097","413,912","420,134","427,650","444,556","457,338","468,977","477,748","481,862","477,312","474,193","469,322","469,191","456,926","468,750","451,631",,,,,
45,"347,444","327,012","292,080","301,082","428,251","409,650","386,937","363,125","354,762","348,293","345,904","336,893","329,200","328,781","331,148","326,101","316,753","305,746","301,574","309,040","313,653","315,991","319,319","320,472","316,425","298,165","319,944","348,104","364,427","362,073","366,795","466,280","430,683","402,264","389,232","377,155","372,481","376,671","380,599","378,432","387,634","400,011","413,299","419,239","427,228","443,727","457,306","468,845","477,504","481,194","476,570","474,145","469,370","469,288","457,361","469,455",,,,,
46,"379,401","345,502","324,807","290,874","299,036","417,606","407,812","385,192","361,336","353,697","347,221","344,798","335,878","327,919","327,276","329,894","325,213","316,288","305,011","301,267","308,534","312,641","315,071","318,676","320,051","315,724","297,509","319,318","347,798","364,111","361,936","366,888","464,582","430,413","401,454","388,744","376,668","372,178","376,543","380,760","377,685","386,776","399,485","412,191","418,903","426,532","443,320","457,296","468,253","476,875","480,677","476,341","474,091","469,488","469,734","458,020",,,,,
47,"385,431","378,502","343,739","323,513","289,166","299,398","418,463","404,755","383,304","360,327","354,791","346,015","343,630","334,415","326,398","326,149","328,917","324,515","315,544","304,495","300,650","307,544","311,835","314,342","318,263","319,487","314,904","296,766","318,901","347,257","363,957","361,797","367,078","462,403","429,480","400,718","387,892","375,909","372,013","376,554","379,929","376,545","386,335","398,574","411,498","418,220","426,132","442,843","456,950","467,296","476,378","480,379","476,313","474,146","469,923","470,035",,,,,
48,"378,976","383,115","377,474","342,375","321,559","288,430","297,850","420,018","401,969","382,303","358,283","353,293","344,729","342,055","332,875","325,110","325,099","328,196","323,458","315,188","303,855","299,642","306,562","310,951","313,608","317,454","318,634","313,968","296,003","318,229","346,743","362,797","361,635","367,287","460,339","428,901","399,928","387,202","375,407","372,125","375,598","378,709","375,753","385,423","398,016","410,552","417,781","425,828","442,076","456,219","466,410","476,069","480,288","476,492","474,510","470,060",,,,,
49,"373,604","377,238","379,922","376,637","340,425","320,910","286,915","302,991","421,788","400,615","379,170","356,750","351,395","342,930","340,264","331,364","323,888","324,221","327,130","322,683","314,067","302,696","298,712","305,620","310,160","312,584","316,557","317,811","313,171","295,227","317,667","346,190","361,766","361,563","366,996","458,644","428,205","399,090","386,669","375,099","371,345","374,667","377,950","374,573","384,849","397,112","409,863","417,459","425,096","440,998","455,551","465,927","475,837","480,500","476,841","474,622",,,,,
50,"376,159","370,434","375,500","377,243","373,857","338,640","318,988","284,601","290,319","424,606","398,881","377,075","354,945","349,538","340,654","338,428","329,912","322,730","323,191","326,176","321,190","312,704","301,516","297,696","304,626","309,037","311,270","315,362","316,784","312,099","294,363","316,796","345,402","360,599","360,933","366,864","456,685","427,365","398,235","386,342","374,125","370,394","373,302","376,422","373,244","383,841","395,882","409,125","416,516","424,058","440,842","454,930","465,461","475,816","480,584","476,699",,,,,
51,"373,909","374,152","367,677","373,564","374,394","372,096","336,616","316,698","283,065","287,119","418,097","396,799","375,179","352,865","347,266","338,883","336,767","328,227","321,486","321,942","324,856","319,934","311,289","300,380","296,821","303,491","307,791","310,130","314,425","315,909","311,059","294,360","316,028","344,854","359,343","360,433","366,451","454,843","426,429","397,825","385,345","373,365","368,560","371,985","375,185","372,112","382,663","395,167","408,037","415,516","423,843","440,096","454,378","465,278","475,891","480,428",,,,,
52,"375,314","372,578","372,917","365,197","371,048","374,492","369,847","334,469","315,009","281,060","289,555","415,614","394,570","372,966","350,656","345,184","337,096","334,782","326,611","319,848","320,446","323,333","318,575","309,928","299,230","295,738","302,054","306,592","309,015","313,352","314,982","310,429","294,183","315,034","343,784","358,028","359,781","366,091","452,710","425,918","396,480","384,382","371,600","366,662","370,915","373,943","370,610","382,073","394,077","406,685","415,362","423,069","439,386","454,044","464,911","475,422",,,,,
53,"372,036","373,936","371,091","371,214","362,128","369,554","371,622","368,103","332,627","312,588","280,272","287,687","413,364","392,120","370,405","348,415","343,280","334,845","332,937","324,741","318,101","318,799","321,807","317,328","308,549","297,834","294,274","300,646","305,372","307,748","312,337","314,022","309,453","293,646","313,963","342,834","356,718","358,948","365,490","451,241","424,596","395,348","382,552","369,803","365,124","369,852","372,400","369,645","381,097","392,791","406,193","414,496","422,128","438,924","453,646","464,570",,,,,
54,"363,429","370,349","372,709","369,355","368,420","361,638","367,139","368,453","366,887","330,233","310,030","278,009","285,804","410,582","389,357","367,980","346,357","340,937","332,767","330,960","322,872","316,083","317,024","320,167","316,003","306,906","296,300","292,931","299,225","303,988","306,360","311,541","313,038","308,748","293,575","312,708","341,739","354,867","358,469","365,913","447,625","422,887","393,373","380,637","368,265","363,594","368,509","371,483","368,369","379,806","392,445","405,347","413,566","421,518","438,360","453,110",,,,,
55,"357,742","361,310","368,293","370,215","366,989","365,695","358,242","364,055","364,909","362,638","330,864","308,543","275,735","283,582","407,596","386,968","365,719","343,802","338,452","330,773","328,740","320,911","314,283","315,264","318,553","314,640","305,134","294,778","291,649","297,659","302,545","305,444","310,397","311,936","307,551","292,980","311,505","340,584","353,466","357,737","365,035","447,175","419,800","391,486","378,711","366,927","362,405","366,607","370,645","367,396","378,976","391,517","404,505","412,982","420,874","437,643",,,,,
